informative_lh,prior,lh,left_pred,red_observation,run
True,0.5,0.1,0.75,True,0
False,0.2,0.6,0.75,False,0
True,0.4,0.7,0.68,True,1
False,0.1,0.5,0.75,True,1
True,0.5,0.9,0.7,True,2
False,0.2,0.4,0.72,True,2
True,0.6,0.3,0.72,False,3
False,0.3,0.5,0.68,True,3
True,0.4,0.9,0.78,False,4
False,0.9,0.4,0.75,False,4
True,0.6,0.3,0.75,True,5
False,0.9,0.6,0.78,False,5
True,0.6,0.1,0.75,True,6
False,0.3,0.5,0.78,True,6
True,0.5,0.2,0.75,True,7
False,0.7,0.4,0.68,False,7
True,0.6,0.9,0.77,False,8
False,0.7,0.5,0.75,False,8
True,0.4,0.7,0.68,True,9
False,0.9,0.5,0.84,False,9
True,0.5,0.1,0.75,True,10
False,0.7,0.5,0.77,True,10
True,0.5,0.1,0.75,False,11
False,0.2,0.5,0.65,False,11
True,0.6,0.3,0.65,False,12
False,0.3,0.4,0.72,False,12
True,0.5,0.2,0.75,True,13
False,0.9,0.4,0.68,False,13
True,0.4,0.8,0.72,False,14
False,0.2,0.6,0.68,True,14
True,0.6,0.1,0.65,False,15
False,0.8,0.4,0.72,False,15
True,0.5,0.1,0.75,False,16
False,0.9,0.5,0.77,False,16
True,0.5,0.1,0.75,False,17
False,0.9,0.5,0.87,True,17
True,0.4,0.1,0.65,False,18
False,0.7,0.5,0.65,True,18
True,0.5,0.2,0.75,True,19
False,0.8,0.5,0.62,True,19
True,0.5,0.8,0.75,True,20
False,0.8,0.5,0.72,False,20
True,0.5,0.3,0.7,True,21
False,0.1,0.5,0.7,False,21
True,0.6,0.9,0.67,False,22
False,0.7,0.5,0.65,True,22
True,0.6,0.2,0.68,False,23
False,0.3,0.6,0.68,True,23
True,0.4,0.1,0.65,True,24
False,0.9,0.5,0.78,True,24
True,0.5,0.9,0.75,False,25
False,0.8,0.6,0.75,True,25
True,0.4,0.7,0.68,False,26
False,0.8,0.5,0.68,False,26
True,0.5,0.2,0.75,False,27
False,0.3,0.5,0.65,False,27
True,0.6,0.2,0.65,True,28
False,0.9,0.6,0.78,True,28
True,0.5,0.3,0.75,True,29
False,0.2,0.5,0.75,True,29
True,0.4,0.3,0.68,True,30
False,0.2,0.5,0.65,False,30
True,0.5,0.9,0.75,True,31
False,0.2,0.4,0.68,True,31
