informative_lh,prior,lh,left_pred,red_observation,run
True,0.4,0.1,0.04,True,0
False,0.2,0.5,0.25,False,0
True,0.5,0.7,0.33,False,1
False,0.1,0.4,0.222,True,1
True,0.6,0.7,0.42,False,2
False,0.7,0.4,0.7,False,2
True,0.5,0.2,0.2,True,3
False,0.1,0.5,0.05,True,3
True,0.4,0.8,0.64,True,4
False,0.1,0.5,0.5,True,4
True,0.4,0.8,0.25,False,5
False,0.2,0.5,0.4,True,5
True,0.4,0.2,0.118,False,6
False,0.1,0.4,0.4,False,6
True,0.4,0.7,0.28,True,7
False,0.3,0.5,0.3,True,7
True,0.6,0.3,0.4,False,8
False,0.8,0.5,0.75,False,8
True,0.4,0.3,0.2,True,9
False,0.3,0.4,0.27,False,9
True,0.5,0.3,0.5,False,10
False,0.7,0.4,0.4,True,10
True,0.5,0.9,0.05,False,11
False,0.2,0.5,0.2,False,11
True,0.6,0.9,0.6,False,12
False,0.9,0.5,0.9,False,12
True,0.4,0.7,0.55,True,13
False,0.8,0.5,0.75,True,13
True,0.5,0.9,0.6,False,14
False,0.9,0.4,0.75,False,14
True,0.5,0.2,0.2,False,15
False,0.7,0.5,0.35,False,15
True,0.5,0.8,0.25,False,16
False,0.8,0.4,0.8,False,16
True,0.4,0.1,0.27,True,17
False,0.2,0.4,0.4,True,17
True,0.5,0.1,0.1,True,18
False,0.7,0.5,0.7,True,18
True,0.4,0.3,0.47,True,19
False,0.7,0.5,0.25,False,19
True,0.4,0.3,0.4,False,20
False,0.8,0.4,0.72,False,20
True,0.4,0.9,0.1,False,21
False,0.1,0.5,0.09,False,21
True,0.5,0.7,0.42,False,22
False,0.2,0.6,0.2,True,22
True,0.6,0.3,0.42,True,23
False,0.9,0.5,0.9,False,23
True,0.4,0.3,0.42,False,24
False,0.8,0.5,0.67,False,24
True,0.5,0.7,0.25,False,25
False,0.8,0.4,0.43,False,25
True,0.4,0.3,0.428,True,26
False,0.2,0.6,0.27,False,26
True,0.4,0.3,0.45,True,27
False,0.8,0.5,0.6,False,27
True,0.6,0.9,0.06,False,28
False,0.3,0.5,0.25,True,28
True,0.4,0.8,0.32,False,29
False,0.1,0.4,0.27,True,29
True,0.4,0.3,0.4,False,30
False,0.9,0.5,0.9,True,30
True,0.4,0.2,0.4,False,31
False,0.7,0.5,0.7,False,31
True,0.5,0.8,0.64,True,32
False,0.3,0.5,0.15,True,32
True,0.6,0.7,0.29,False,33
False,0.8,0.6,0.75,False,33
True,0.5,0.7,0.194,False,34
False,0.8,0.5,0.525,False,34
True,0.5,0.2,0.25,True,35
False,0.2,0.4,0.28,True,35
True,0.6,0.3,77,False,36
False,0.3,0.5,0.3,True,36
True,0.6,0.3,0.71,False,37
False,0.3,0.5,0.5,True,37
True,0.5,0.1,0.45,True,38
False,0.2,0.5,0.5,False,38
True,0.5,0.9,0.9,True,39
False,0.3,0.5,0.3,False,39
True,0.5,0.2,0.2,False,40
False,0.7,0.4,0.28,True,40
True,0.6,0.8,0.48,True,41
False,0.2,0.6,0.5,False,41
True,0.5,0.2,0.33,False,42
False,0.3,0.5,0.33,True,42
True,0.4,0.1,0.4,False,43
False,0.3,0.4,0.43,False,43
True,0.4,0.2,0.32,False,44
False,0.1,0.4,0.1,False,44
True,0.5,0.3,0.3,False,45
False,0.3,0.5,0.3,True,45
True,0.4,0.9,0.36,True,46
False,0.7,0.4,0.71,False,46
True,0.6,0.8,0.375,False,47
False,0.8,0.5,0.8,False,47
True,0.5,0.2,0.58,True,48
False,0.1,0.4,0.4,True,48
True,0.5,0.7,74,False,49
False,0.1,0.5,0.1,False,49
True,0.4,0.2,0.4,False,50
False,0.7,0.5,0.7,False,50
True,0.6,0.9,0.4,False,51
False,0.9,0.5,0.45,False,51
True,0.6,0.9,0.6,True,52
False,0.9,0.4,0.6,True,52
True,0.5,0.8,0.42,False,53
False,0.9,0.4,0.9,False,53
True,0.5,0.8,0.7,False,54
False,0.2,0.5,0.33,False,54
True,0.5,0.9,0.75,True,55
False,0.7,0.5,0.35,False,55
True,0.4,0.3,0.17,True,56
False,0.2,0.5,0.0556,True,56
True,0.6,0.3,0.4286,False,57
False,0.1,0.5,0.5,True,57
True,0.4,0.2,0.2,True,58
False,0.9,0.4,0.4,True,58
True,0.5,0.9,0.278,False,59
False,0.8,0.6,0.72,True,59
True,0.5,0.9,0.05,False,60
False,0.7,0.6,0.77,True,60
True,0.5,0.9,0.5,False,61
False,0.9,0.5,0.9,False,61
True,0.5,0.3,0.3,False,62
False,0.3,0.5,0.375,True,62
True,0.5,0.1,0.05,True,63
False,0.3,0.5,0.6,True,63
True,0.5,0.8,0.4,True,64
False,0.3,0.5,0.25,True,64
True,0.6,0.3,0.6,False,65
False,0.3,0.5,0.15,False,65
True,0.6,0.3,0.4,False,66
False,0.9,0.5,0.81,False,66
True,0.6,0.7,0.43,True,67
False,0.9,0.6,0.75,True,67
True,0.5,0.2,0.67,True,68
False,0.2,0.5,0.5,False,68
True,0.5,0.7,0.5,True,69
False,0.9,0.6,0.4,False,69
True,0.5,0.8,0.45,False,70
False,0.9,0.6,0.4,False,70
True,0.5,0.3,0.3,False,71
False,0.2,0.4,0.4,True,71
True,0.4,0.3,0.27,False,72
False,0.7,0.5,0.55,True,72
True,0.5,0.3,0.3,False,73
False,0.1,0.5,0.1,False,73
True,0.4,0.7,0.43,True,74
False,0.1,0.5,0.05,True,74
True,0.5,0.9,0.45,False,75
False,0.8,0.6,0.72,True,75
True,0.6,0.2,0.4,False,76
False,0.7,0.5,0.35,True,76
True,0.5,0.7,0.35,True,77
False,0.8,0.5,0.8,False,77
True,0.5,0.2,0.29,True,78
False,0.8,0.4,0.2,True,78
True,0.6,0.7,0.67,False,79
False,0.9,0.6,0.6,True,79
True,0.5,0.9,0.81,True,80
False,0.2,0.5,0.5,True,80
True,0.4,0.3,0.63,True,81
False,0.3,0.6,0.42,True,81
True,0.4,0.8,0.32,False,82
False,0.3,0.5,0.3,True,82
True,0.5,0.1,0.33,False,83
False,0.2,0.4,0.4,False,83
True,0.4,0.7,0.7,False,84
False,0.8,0.4,0.8,True,84
True,0.5,0.8,0.54,False,85
